Player,Image,Number,Salary,Tm,Pos,Birthday,Age,height,weight,Draft
Nassir Little,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629642.png,9,"$2,316,240",Portland Trail Blazers,F,2/11/2000,21,6-5 / 1.96,220 lbs. / 99.8 kg.,1 25 2019
Kevon Looney,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626172.png,36,"$5,178,572",Golden State Warriors,F,2/6/1996,25,6-9 / 2.06,222 lbs. / 100.7 kg.,1 30 2015
Brook Lopez,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201572.png,11,"$13,302,325",Milwaukee Bucks,C,4/1/1988,33,7-0 / 2.13,265 lbs. / 120.2 kg.,1 10 2008
Robin Lopez,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201577.png,15,"$5,000,000",Orlando Magic,C,4/1/1988,33,7-0 / 2.13,255 lbs. / 115.7 kg.,1 15 2008
Didi Louzada,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629712.png,-,"$1,786,878",New Orleans Pelicans,F,-,-,6-5 / 1.96,187 lbs. / 84.8 kg.,-
Kevin Love,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201567.png,42,"$31,258,256",Cleveland Cavaliers,F,9/7/1988,33,6-8 / 2.03,260 lbs. / 117.9 kg.,1 5 2008
Kyle Lowry,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200768.png,1,"$26,984,128",Miami Heat,G,3/25/1986,35,6-0 / 1.83,205 lbs. / 93 kg.,1 24 2006
Timothe Luwawu-Cabarrot,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627789.png,20,-,-,-,5/9/1995,26,-,-,1 24 2016
Trey Lyles,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626168.png,41,"$2,500,000",Detroit Pistons,F,11/5/1995,26,6-9 / 2.06,241 lbs. / 109.3 kg.,1 12 2015
Theo Maledon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630177.png,11,"$2,000,000",Oklahoma City Thunder,G,6/12/2001,20,6-5 / 1.96,198 lbs. / 89.8 kg.,2 34 2020
Sandro Mamukelashvili,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630572.png,54,"$462,629",Milwaukee Bucks,F-C,5/23/1999,22,6-11 / 2.11,240 lbs. / 108.9 kg.,2 54 2021
Terance Mann,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629611.png,14,"$1,782,621",Los Angeles Clippers,G,10/18/1996,25,6-5 / 1.96,215 lbs. / 97.5 kg.,2 48 2019
Tre Mann,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630544.png,23,"$2,901,240",Oklahoma City Thunder,G,2/3/2001,20,6-4 / 1.93,172 lbs. / 78 kg.,1 18 2021
Boban Marjanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626246.png,40,"$3,500,000",Dallas Mavericks,C,8/15/1988,33,7-4 / 2.24,290 lbs. / 131.5 kg.,-
Lauri Markkanen,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628374.png,24,"$15,690,909",Cleveland Cavaliers,F-C,5/22/1997,24,7-0 / 2.13,240 lbs. / 108.9 kg.,1 7 2017
Naji Marshall,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630230.png,8,"$1,517,981",New Orleans Pelicans,F,1/24/1998,23,6-7 / 2.01,220 lbs. / 99.8 kg.,-
Caleb Martin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628997.png,10,"$462,629",Miami Heat,F,9/28/1995,26,6-5 / 1.96,205 lbs. / 93 kg.,-
Cody Martin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628998.png,11,"$1,782,621",Charlotte Hornets,F,9/28/1995,26,6-5 / 1.96,205 lbs. / 93 kg.,2 36 2019
Kelan Martin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629103.png,30,"$1,701,593",Indiana Pacers,F,8/3/1995,26,6-5 / 1.96,230 lbs. / 104.3 kg.,-
Kenyon Martin Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630231.png,6,"$113,431,519 ($143,196,816*)",,-,1/6/2001,20,6-9 / 2.06,233 lbs. / 106.1 kg.,2 52 2020
Tyrese Maxey,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630178.png,0,"$2,602,920",Philadelphia 76ers,G,11/4/2000,21,6-3 / 1.91,200 lbs. / 90.7 kg.,1 21 2020
Skylar Mays,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630219.png,4,"$462,629",Atlanta Hawks,G,9/5/1997,24,6-4 / 1.93,205 lbs. / 93 kg.,2 50 2020
Miles McBride,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630540.png,2,"$925,258",New York Knicks,G,9/8/2000,21,6-2 / 1.88,196 lbs. / 88.9 kg.,2 36 2021
CJ McCollum,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203468.png,3,"$30,864,198",Portland Trail Blazers,G,9/19/1991,30,6-3 / 1.91,197 lbs. / 89.4 kg.,1 10 2013
TJ McConnell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204456.png,12,"$7,500,000",Indiana Pacers,G,3/25/1992,29,6-1 / 1.85,200 lbs. / 90.7 kg.,-
Jaden McDaniels,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630183.png,3,"$2,063,280",Minnesota Timberwolves,F,9/29/2000,21,6-10 / 2.08,220 lbs. / 99.8 kg.,1 28 2020
Jalen McDaniels,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629667.png,6,"$1,782,621",Charlotte Hornets,F,1/31/1998,23,6-10 / 2.08,200 lbs. / 90.7 kg.,2 52 2019
Doug McDermott,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203926.png,3,"$13,750,000",San Antonio Spurs,G,1/3/1992,29,6-7 / 2.01,218 lbs. / 98.9 kg.,1 11 2014
JaVale McGee,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201580.png,34,"$5,000,000",Phoenix Suns,C,1/19/1988,33,7-0 / 2.13,270 lbs. / 122.5 kg.,1 18 2008
Rodney McGruder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203585.png,17,"$1,939,350",Detroit Pistons,G,7/29/1991,30,6-4 / 1.93,205 lbs. / 93 kg.,-
JaQuori McLaughlin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630605.png,-,-,-,-,-,-,-,-,-
Jordan McLaughlin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629162.png,6,"$2,000,000",Minnesota Timberwolves,G,4/9/1996,25,5-11 / 1.80,185 lbs. / 83.9 kg.,-
Ben McLemore,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203463.png,16,"$2,389,641",Portland Trail Blazers,G,2/11/1993,28,6-3 / 1.91,189 lbs. / 85.7 kg.,1 7 2013
De'Anthony Melton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629001.png,-,"$8,805,976",Memphis Grizzlies,G,-,-,6-2 / 1.88,190 lbs. / 86.2 kg.,-
Sam Merrill,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630241.png,15,"$1,517,981",Memphis Grizzlies,G,5/15/1996,25,6-5 / 1.96,205 lbs. / 93 kg.,2 60 2020
Chimezie Metu,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629002.png,7,"$1,762,796",Sacramento Kings,F,3/22/1997,24,6-9 / 2.06,225 lbs. / 102.1 kg.,2 49 2018
Khris Middleton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203114.png,32,"$35,500,000",Milwaukee Bucks,F,8/12/1991,30,6-7 / 2.01,217 lbs. / 98.4 kg.,2 39 2012
Patty Mills,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201988.png,8,-,-,-,8/11/1988,33,-,-,2 55 2009
Paul Millsap,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200794.png,24,"$2,641,691",Brooklyn Nets,F-C,2/10/1985,36,6-7 / 2.01,250 lbs. / 113.4 kg.,2 47 2006
Shake Milton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629003.png,18,"$1,846,738",Philadelphia 76ers,C,9/26/1996,25,6-5 / 1.96,205 lbs. / 93 kg.,2 54 2018
Davion Mitchell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630558.png,15,"$4,603,200",Sacramento Kings,G,9/5/1998,23,6-2 / 1.88,205 lbs. / 93 kg.,1 9 2021
Donovan Mitchell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628378.png,45,"$28,103,500",Utah Jazz,G,9/7/1996,25,6-1 / 1.85,211 lbs. / 95.7 kg.,1 13 2017
Evan Mobley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630596.png,4,"$8,075,160",Cleveland Cavaliers,F-C,6/18/2001,20,7-0 / 2.13,205 lbs. / 93 kg.,1 3 2021
Malik Monk,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628370.png,1,"$1,789,256",Los Angeles Lakers,G,2/4/1998,23,6-3 / 1.91,197 lbs. / 89.4 kg.,1 11 2017
Moses Moody,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630541.png,4,"$3,562,200",Golden State Warriors,G,5/31/2002,19,6-6 / 1.98,205 lbs. / 93 kg.,1 14 2021
Ja Morant,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629630.png,12,"$9,603,360",Memphis Grizzlies,G,8/10/1999,22,6-3 / 1.91,174 lbs. / 78.9 kg.,1 2 2019
Marcus Morris,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/None.png,2,"$15,627,907",Los Angeles Clippers,F,9/2/1989,32,6-8 / 2.03,235 lbs. / 106.6 kg.,1 14 2011
Markieff Morris,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202693.png,11,"$2,641,691",Miami Heat,F,9/2/1989,32,6-8 / 2.03,245 lbs. / 111.1 kg.,1 13 2011
Monte Morris,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628420.png,11,"$8,449,074",Denver Nuggets,G,6/27/1995,26,6-2 / 1.88,175 lbs. / 79.4 kg.,2 51 2017
Mychal Mulder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628539.png,15,"$449,155",Orlando Magic,G,6/12/1994,27,6-4 / 1.93,185 lbs. / 83.9 kg.,-
Trey Murphy III,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630530.png,25,"$3,053,760",New Orleans Pelicans,G,6/18/2000,21,6-9 / 2.06,205 lbs. / 93 kg.,1 17 2021
Dejounte Murray,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627749.png,5,"$15,428,880",San Antonio Spurs,G,9/19/1996,25,6-4 / 1.93,170 lbs. / 77.1 kg.,1 29 2016
Mike Muscala,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203488.png,31,"$3,500,000",Oklahoma City Thunder,F-C,7/1/1991,30,6-10 / 2.08,230 lbs. / 104.3 kg.,2 44 2013
Svi Mykhailiuk,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629004.png,10,-,-,-,6/10/1997,24,-,-,2 47 2018
Abdel Nader,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627846.png,28,"$2,000,000",Phoenix Suns,F,9/25/1993,28,6-5 / 1.96,225 lbs. / 102.1 kg.,2 58 2016
Larry Nance Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626204.png,7,"$10,690,909",Portland Trail Blazers,F,1/1/1993,28,6-7 / 2.01,227 lbs. / 103 kg.,1 27 2015
RJ Nembhard,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/None.png,5,"$462,629",Cleveland Cavaliers,F,3/22/1999,22,6-5 / 1.96,200 lbs. / 90.7 kg.,-
Aaron Nesmith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630174.png,26,"$3,631,200",Boston Celtics,G-F,10/16/1999,22,6-6 / 1.98,213 lbs. / 96.6 kg.,1 14 2020
Raul Neto,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203526.png,25,"$2,089,448",Washington Wizards,G,5/19/1992,29,6-1 / 1.85,170 lbs. / 77.1 kg.,2 47 2013
Georges Niang,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627777.png,32,"$3,300,000",Philadelphia 76ers,F,6/17/1993,28,6-7 / 2.01,230 lbs. / 104.3 kg.,2 50 2016
Zeke Nnaji,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630192.png,22,"$2,498,760",Denver Nuggets,F,1/9/2001,20,6-11 / 2.11,240 lbs. / 108.9 kg.,1 22 2020
Nerlens Noel,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203457.png,4,"$8,800,000",New York Knicks,F-C,4/10/1994,27,6-10 / 2.08,206 lbs. / 93.4 kg.,1 6 2013
Jaylen Nowell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629669.png,4,"$1,782,621",Minnesota Timberwolves,G,7/9/1999,22,6-4 / 1.93,201 lbs. / 91.2 kg.,2 43 2019
Frank Ntilikina,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628373.png,11,"$1,789,256",Dallas Mavericks,G,7/28/1998,23,6-4 / 1.93,190 lbs. / 86.2 kg.,1 8 2017
Jusuf Nurkic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203994.png,23,"$12,000,000",Portland Trail Blazers,C,8/23/1994,27,7-0 / 2.13,290 lbs. / 131.5 kg.,1 16 2014
David Nwaba,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628021.png,10,"$4,650,000",Houston Rockets,G,1/14/1993,28,6-5 / 1.96,210 lbs. / 95.3 kg.,-
Jordan Nwora,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629670.png,13,"$1,517,981",Milwaukee Bucks,F,9/9/1998,23,6-7 / 2.01,225 lbs. / 102.1 kg.,2 45 2020
Royce O'Neale,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626220.png,-,"$8,800,000",Utah Jazz,F,-,-,6-4 / 1.93,226 lbs. / 102.5 kg.,-
Semi Ojeleye,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628400.png,37,"$1,789,256",Milwaukee Bucks,F,12/5/1994,28,6-6 / 1.98,235 lbs. / 106.6 kg.,2 37 2017
Chuma Okeke,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629643.png,3,"$3,277,080",Orlando Magic,F,8/18/1998,23,6-8 / 2.03,230 lbs. / 104.3 kg.,1 16 2019
Josh Okogie,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629006.png,20,"$4,087,904",Minnesota Timberwolves,G,9/1/1998,23,6-4 / 1.93,213 lbs. / 96.6 kg.,1 20 2018
Isaac Okoro,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630171.png,35,"$6,720,720",Cleveland Cavaliers,F,1/26/2001,20,6-6 / 1.98,225 lbs. / 102.1 kg.,1 5 2020
KZ Okpala,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629644.png,4,"$1,782,621",Miami Heat,F,4/28/1999,22,6-8 / 2.03,215 lbs. / 97.5 kg.,2 32 2019
Kelly Olynyk,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203482.png,41,"$12,195,122",Detroit Pistons,C,4/19/1991,30,6-11 / 2.11,234 lbs. / 106.1 kg.,1 13 2013
Eugene Omoruyi,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630647.png,2,-,-,-,2/14/1997,24,-,-,-
Miye Oni,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629671.png,24,"$1,782,621",Utah Jazz,F,8/4/1997,24,6-5 / 1.96,210 lbs. / 95.3 kg.,2 58 2019
Cedi Osman,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626224.png,16,"$8,133,334",Cleveland Cavaliers,F-G,4/8/1995,26,6-7 / 2.01,215 lbs. / 97.5 kg.,2 31 2015
Kelly Oubre Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626162.png,-,"$12,000,000",Charlotte Hornets,F,-,-,6-7 / 2.01,203 lbs. / 92.1 kg.,-
Kevin Pangos,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630698.png,6,"$1,669,178",Cleveland Cavaliers,G,1/26/1993,28,6-2 / 1.88,185 lbs. / 83.9 kg.,-
Jabari Parker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203953.png,12,"$100,000",,-,3/15/1995,26,6-8 / 2.03,235 lbs. / 106.6 kg.,1 2 2014
Eric Paschall,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629672.png,7,"$1,782,621",Utah Jazz,F,11/4/1996,25,6-6 / 1.98,255 lbs. / 115.7 kg.,2 41 2019
Chris Paul,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101108.png,3,"$30,800,000",Phoenix Suns,G,5/6/1985,36,6-1 / 1.85,175 lbs. / 79.4 kg.,1 4 2005
Cameron Payne,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626166.png,22,"$6,500,000",Phoenix Suns,G,8/8/1994,27,6-2 / 1.88,180 lbs. / 81.6 kg.,1 14 2015
Elfrid Payton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203901.png,4,"$2,239,544",Phoenix Suns,G,2/22/1994,27,6-3 / 1.91,185 lbs. / 83.9 kg.,1 10 2014
Gary Payton II,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627780.png,0,"$1,669,178",Golden State Warriors,G,12/1/1992,30,6-3 / 1.91,175 lbs. / 79.4 kg.,-
Jamorko Pickett,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630691.png,24,"$462,629",Detroit Pistons,F,12/24/1997,25,6-8 / 2.03,198 lbs. / 89.8 kg.,-
Mason Plumlee,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203486.png,1,"$9,248,333",Charlotte Hornets,C-F,3/5/1990,31,6-11 / 2.11,238 lbs. / 108 kg.,1 22 2013
Jakob Poeltl,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627751.png,42,"$8,750,000",San Antonio Spurs,C-F,10/15/1995,26,7-1 / 2.16,239 lbs. / 108.4 kg.,1 9 2016
Aleksej Pokusevski,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630197.png,17,"$3,113,160",Oklahoma City Thunder,F,12/26/2001,21,7-0 / 2.13,190 lbs. / 86.2 kg.,1 17 2020
Jordan Poole,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629673.png,3,"$2,161,440",Golden State Warriors,G,6/19/1999,22,6-4 / 1.93,194 lbs. / 88 kg.,1 28 2019
Kevin Porter Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629645.png,4,"$1,782,621",Houston Rockets,G-F,5/4/2000,21,6-4 / 1.93,218 lbs. / 98.9 kg.,1 30 2019
Michael Porter Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629008.png,1,"$5,258,735",Denver Nuggets,F,6/29/1998,23,6-10 / 2.08,215 lbs. / 97.5 kg.,1 14 2018
Otto Porter,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/None.png,22,"$2,389,641",Golden State Warriors,F,6/3/1993,28,6-8 / 2.03,198 lbs. / 89.8 kg.,1 3 2013
Bobby Portis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626171.png,5,"$4,347,600",Milwaukee Bucks,F-C,2/10/1995,26,6-10 / 2.08,246 lbs. / 111.6 kg.,1 22 2015
Kristaps Porzingis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204001.png,6,"$31,650,600",Dallas Mavericks,F-C,8/2/1995,26,7-3 / 2.21,220 lbs. / 99.8 kg.,1 4 2015
Dwight Powell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203939.png,12,"$11,080,125",Dallas Mavericks,F-C,7/20/1991,30,6-10 / 2.08,234 lbs. / 106.1 kg.,2 45 2014
Norman Powell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626181.png,24,"$15,517,242",Portland Trail Blazers,G,5/25/1993,28,6-3 / 1.91,215 lbs. / 97.5 kg.,2 46 2015
Joshua Primo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630563.png,11,-,-,-,12/24/2002,20,-,-,1 12 2021
Taurean Prince,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627752.png,12,"$13,000,000",Minnesota Timberwolves,F,3/22/1994,27,6-7 / 2.01,220 lbs. / 99.8 kg.,1 12 2016
Payton Pritchard,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png,11,"$2,137,440",Boston Celtics,G,1/28/1998,23,6-1 / 1.85,206 lbs. / 93.4 kg.,1 26 2020
Immanuel Quickley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630193.png,5,"$2,210,640",New York Knicks,G,6/17/1999,22,6-3 / 1.91,188 lbs. / 85.3 kg.,1 25 2020
Julius Randle,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203944.png,30,"$21,780,000",New York Knicks,F,11/29/1994,28,6-8 / 2.03,250 lbs. / 113.4 kg.,1 7 2014
Austin Reaves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630559.png,15,"$925,258",Los Angeles Lakers,G,5/29/1998,23,6-5 / 1.96,202 lbs. / 91.6 kg.,-
Cam Reddish,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629629.png,22,"$4,670,160",Atlanta Hawks,F-G,9/1/1999,22,6-8 / 2.03,218 lbs. / 98.9 kg.,1 10 2019
Paul Reed,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630194.png,44,"$1,517,981",Philadelphia 76ers,F,6/14/1999,22,6-9 / 2.06,220 lbs. / 99.8 kg.,2 58 2020
Naz Reid,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629675.png,11,"$1,782,621",Minnesota Timberwolves,C,8/26/1999,22,6-9 / 2.06,249 lbs. / 112.9 kg.,-
Nick Richards,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630208.png,14,"$1,517,981",Charlotte Hornets,C,11/29/1997,25,6-11 / 2.11,240 lbs. / 108.9 kg.,2 42 2020
Josh Richardson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626196.png,0,"$11,615,328",Boston Celtics,G,9/15/1993,28,6-5 / 1.96,200 lbs. / 90.7 kg.,2 40 2015
Austin Rivers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203085.png,25,"$2,401,537",Denver Nuggets,G,8/1/1992,29,6-3 / 1.91,200 lbs. / 90.7 kg.,1 10 2012
Duncan Robinson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629130.png,55,"$15,650,000",Miami Heat,F,4/22/1994,27,6-7 / 2.01,215 lbs. / 97.5 kg.,-
Justin Robinson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629620.png,5,"$462,629",Milwaukee Bucks,G,10/12/1997,24,6-1 / 1.85,195 lbs. / 88.5 kg.,-
Mitchell Robinson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629011.png,26,"$1,802,057",New York Knicks,C,4/1/1998,23,7-0 / 2.13,280 lbs. / 127 kg.,2 36 2018
Jeremiah Robinson-Earl,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630526.png,50,"$2,000,000",Oklahoma City Thunder,F,11/3/2000,21,6-9 / 2.06,230 lbs. / 104.3 kg.,2 32 2021
Isaiah Roby,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629676.png,22,"$1,782,621",Oklahoma City Thunder,F,2/3/1998,23,6-8 / 2.03,229 lbs. / 103.9 kg.,2 45 2019
Rajon Rondo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200765.png,9,"$7,500,000",Los Angeles Lakers,G,2/22/1986,35,6-1 / 1.85,186 lbs. / 84.4 kg.,1 21 2006
Derrick Rose,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201565.png,1,"$13,445,120",New York Knicks,G,10/4/1988,33,6-2 / 1.88,190 lbs. / 86.2 kg.,1 1 2008
Terrence Ross,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203082.png,31,"$12,500,000",Orlando Magic,G,2/5/1991,30,6-6 / 1.98,206 lbs. / 93.4 kg.,1 8 2012
Terry Rozier,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626179.png,12,"$17,905,263",Charlotte Hornets,G,3/17/1994,27,6-1 / 1.85,190 lbs. / 86.2 kg.,1 16 2015
Ricky Rubio,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201937.png,9,"$17,800,000",Cleveland Cavaliers,G,10/21/1990,31,6-3 / 1.91,180 lbs. / 81.6 kg.,1 5 2009
D'Angelo Russell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626156.png,-,"$30,013,500",Minnesota Timberwolves,G,-,-,6-4 / 1.93,193 lbs. / 87.5 kg.,-
Domantas Sabonis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627734.png,3,"$18,500,000",Indiana Pacers,F-C,5/3/1996,25,6-11 / 2.11,231 lbs. / 104.8 kg.,1 11 2016
Tomas Satoransky,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203107.png,31,"$10,000,000",New Orleans Pelicans,G,10/30/1991,30,6-7 / 2.01,198 lbs. / 89.8 kg.,2 32 2012
Dennis Schroder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203471.png,-,-,-,-,-,-,-,-,-
